instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
8979458,35076,ALKEM24JUNFUT,ALKEM,0.0,2024-06-27,0.0,0.05,200,FUT,NFO-FUT,NFO
13378050,52258,AMBUJACEM24APRFUT,AMBUJACEM,0.0,2024-04-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
12149506,47459,AMBUJACEM24MAYFUT,AMBUJACEM,0.0,2024-05-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
9011202,35200,AMBUJACEM24JUNFUT,AMBUJACEM,0.0,2024-06-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
13381890,52273,APOLLOHOSP24APRFUT,APOLLOHOSP,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
12149762,47460,APOLLOHOSP24MAYFUT,APOLLOHOSP,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9011458,35201,APOLLOHOSP24JUNFUT,APOLLOHOSP,0.0,2024-06-27,0.0,0.05,125,FUT,NFO-FUT,NFO
13383170,52278,APOLLOTYRE24APRFUT,APOLLOTYRE,0.0,2024-04-25,0.0,0.05,1700,FUT,NFO-FUT,NFO
12403970,48453,APOLLOTYRE24MAYFUT,APOLLOTYRE,0.0,2024-05-30,0.0,0.05,1700,FUT,NFO-FUT,NFO
9011970,35203,APOLLOTYRE24JUNFUT,APOLLOTYRE,0.0,2024-06-27,0.0,0.05,1700,FUT,NFO-FUT,NFO
13383938,52281,ASHOKLEY24APRFUT,ASHOKLEY,0.0,2024-04-25,0.0,0.05,5000,FUT,NFO-FUT,NFO
12404738,48456,ASHOKLEY24MAYFUT,ASHOKLEY,0.0,2024-05-30,0.0,0.05,5000,FUT,NFO-FUT,NFO
9013762,35210,ASHOKLEY24JUNFUT,ASHOKLEY,0.0,2024-06-27,0.0,0.05,5000,FUT,NFO-FUT,NFO
13384194,52282,ASIANPAINT24APRFUT,ASIANPAINT,0.0,2024-04-25,0.0,0.05,200,FUT,NFO-FUT,NFO
12404994,48457,ASIANPAINT24MAYFUT,ASIANPAINT,0.0,2024-05-30,0.0,0.05,200,FUT,NFO-FUT,NFO
9014530,35213,ASIANPAINT24JUNFUT,ASIANPAINT,0.0,2024-06-27,0.0,0.05,200,FUT,NFO-FUT,NFO
13384450,52283,ASTRAL24APRFUT,ASTRAL,0.0,2024-04-25,0.0,0.05,367,FUT,NFO-FUT,NFO
12405250,48458,ASTRAL24MAYFUT,ASTRAL,0.0,2024-05-30,0.0,0.05,367,FUT,NFO-FUT,NFO
9015298,35216,ASTRAL24JUNFUT,ASTRAL,0.0,2024-06-27,0.0,0.05,367,FUT,NFO-FUT,NFO
13384706,52284,ATUL24APRFUT,ATUL,0.0,2024-04-25,0.0,0.05,75,FUT,NFO-FUT,NFO
13036802,50925,ATUL24MAYFUT,ATUL,0.0,2024-05-30,0.0,0.05,75,FUT,NFO-FUT,NFO
9017090,35223,ATUL24JUNFUT,ATUL,0.0,2024-06-27,0.0,0.05,75,FUT,NFO-FUT,NFO
13384962,52285,AUBANK24APRFUT,AUBANK,0.0,2024-04-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
13037058,50926,AUBANK24MAYFUT,AUBANK,0.0,2024-05-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9019394,35232,AUBANK24JUNFUT,AUBANK,0.0,2024-06-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
13385218,52286,AUROPHARMA24APRFUT,AUROPHARMA,0.0,2024-04-25,0.0,0.05,1100,FUT,NFO-FUT,NFO
13037314,50927,AUROPHARMA24MAYFUT,AUROPHARMA,0.0,2024-05-30,0.0,0.05,1100,FUT,NFO-FUT,NFO
9372418,36611,AUROPHARMA24JUNFUT,AUROPHARMA,0.0,2024-06-27,0.0,0.05,1100,FUT,NFO-FUT,NFO
13385474,52287,AXISBANK24APRFUT,AXISBANK,0.0,2024-04-25,0.0,0.05,625,FUT,NFO-FUT,NFO
13037570,50928,AXISBANK24MAYFUT,AXISBANK,0.0,2024-05-30,0.0,0.05,625,FUT,NFO-FUT,NFO
9748226,38079,AXISBANK24JUNFUT,AXISBANK,0.0,2024-06-27,0.0,0.05,625,FUT,NFO-FUT,NFO
13385730,52288,BAJAJ-AUTO24APRFUT,BAJAJ-AUTO,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
13037826,50929,BAJAJ-AUTO24MAYFUT,BAJAJ-AUTO,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9748482,38080,BAJAJ-AUTO24JUNFUT,BAJAJ-AUTO,0.0,2024-06-27,0.0,0.05,125,FUT,NFO-FUT,NFO
13386498,52291,BAJAJFINSV24APRFUT,BAJAJFINSV,0.0,2024-04-25,0.0,0.05,500,FUT,NFO-FUT,NFO
13038082,50930,BAJAJFINSV24MAYFUT,BAJAJFINSV,0.0,2024-05-30,0.0,0.05,500,FUT,NFO-FUT,NFO
9833218,38411,BAJAJFINSV24JUNFUT,BAJAJFINSV,0.0,2024-06-27,0.0,0.05,500,FUT,NFO-FUT,NFO
13387010,52293,BAJFINANCE24APRFUT,BAJFINANCE,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
13038338,50931,BAJFINANCE24MAYFUT,BAJFINANCE,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9833474,38412,BAJFINANCE24JUNFUT,BAJFINANCE,0.0,2024-06-27,0.0,0.05,125,FUT,NFO-FUT,NFO
13387266,52294,BALKRISIND24APRFUT,BALKRISIND,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
13038594,50932,BALKRISIND24MAYFUT,BALKRISIND,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
9882882,38605,BALKRISIND24JUNFUT,BALKRISIND,0.0,2024-06-27,0.0,0.05,300,FUT,NFO-FUT,NFO
13388034,52297,BALRAMCHIN24APRFUT,BALRAMCHIN,0.0,2024-04-25,0.0,0.05,1600,FUT,NFO-FUT,NFO
13038850,50933,BALRAMCHIN24MAYFUT,BALRAMCHIN,0.0,2024-05-30,0.0,0.05,1600,FUT,NFO-FUT,NFO
9886978,38621,BALRAMCHIN24JUNFUT,BALRAMCHIN,0.0,2024-06-27,0.0,0.05,1600,FUT,NFO-FUT,NFO
13388290,52298,BANDHANBNK24APRFUT,BANDHANBNK,0.0,2024-04-25,0.0,0.05,2500,FUT,NFO-FUT,NFO
13039106,50934,BANDHANBNK24MAYFUT,BANDHANBNK,0.0,2024-05-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
10019586,39139,BANDHANBNK24JUNFUT,BANDHANBNK,0.0,2024-06-27,0.0,0.05,2500,FUT,NFO-FUT,NFO
13388546,52299,BANKBARODA24APRFUT,BANKBARODA,0.0,2024-04-25,0.0,0.05,2925,FUT,NFO-FUT,NFO
13039362,50935,BANKBARODA24MAYFUT,BANKBARODA,0.0,2024-05-30,0.0,0.05,2925,FUT,NFO-FUT,NFO
10019842,39140,BANKBARODA24JUNFUT,BANKBARODA,0.0,2024-06-27,0.0,0.05,2925,FUT,NFO-FUT,NFO
13388802,52300,BATAINDIA24APRFUT,BATAINDIA,0.0,2024-04-25,0.0,0.05,375,FUT,NFO-FUT,NFO
13039618,50936,BATAINDIA24MAYFUT,BATAINDIA,0.0,2024-05-30,0.0,0.05,375,FUT,NFO-FUT,NFO
10188034,39797,BATAINDIA24JUNFUT,BATAINDIA,0.0,2024-06-27,0.0,0.05,375,FUT,NFO-FUT,NFO
13389058,52301,BEL24APRFUT,BEL,0.0,2024-04-25,0.0,0.05,5700,FUT,NFO-FUT,NFO
13039874,50937,BEL24MAYFUT,BEL,0.0,2024-05-30,0.0,0.05,5700,FUT,NFO-FUT,NFO
10188290,39798,BEL24JUNFUT,BEL,0.0,2024-06-27,0.0,0.05,5700,FUT,NFO-FUT,NFO
13389314,52302,BERGEPAINT24APRFUT,BERGEPAINT,0.0,2024-04-25,0.0,0.05,1320,FUT,NFO-FUT,NFO
13040130,50938,BERGEPAINT24MAYFUT,BERGEPAINT,0.0,2024-05-30,0.0,0.05,1320,FUT,NFO-FUT,NFO
10340866,40394,BERGEPAINT24JUNFUT,BERGEPAINT,0.0,2024-06-27,0.0,0.05,1320,FUT,NFO-FUT,NFO
13389826,52304,BHARATFORG24APRFUT,BHARATFORG,0.0,2024-04-25,0.0,0.05,500,FUT,NFO-FUT,NFO
13040386,50939,BHARATFORG24MAYFUT,BHARATFORG,0.0,2024-05-30,0.0,0.05,500,FUT,NFO-FUT,NFO
10341122,40395,BHARATFORG24JUNFUT,BHARATFORG,0.0,2024-06-27,0.0,0.05,500,FUT,NFO-FUT,NFO
13390082,52305,BHARTIARTL24APRFUT,BHARTIARTL,0.0,2024-04-25,0.0,0.05,950,FUT,NFO-FUT,NFO
13040898,50941,BHARTIARTL24MAYFUT,BHARTIARTL,0.0,2024-05-30,0.0,0.05,950,FUT,NFO-FUT,NFO
10341378,40396,BHARTIARTL24JUNFUT,BHARTIARTL,0.0,2024-06-27,0.0,0.05,950,FUT,NFO-FUT,NFO
13391618,52311,BHEL24APRFUT,BHEL,0.0,2024-04-25,0.0,0.05,5250,FUT,NFO-FUT,NFO
13041154,50942,BHEL24MAYFUT,BHEL,0.0,2024-05-30,0.0,0.05,5250,FUT,NFO-FUT,NFO
10342914,40402,BHEL24JUNFUT,BHEL,0.0,2024-06-27,0.0,0.05,5250,FUT,NFO-FUT,NFO
13391874,52312,BIOCON24APRFUT,BIOCON,0.0,2024-04-25,0.0,0.05,2500,FUT,NFO-FUT,NFO
13041410,50943,BIOCON24MAYFUT,BIOCON,0.0,2024-05-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
10343426,40404,BIOCON24JUNFUT,BIOCON,0.0,2024-06-27,0.0,0.05,2500,FUT,NFO-FUT,NFO
13392130,52313,BOSCHLTD24APRFUT,BOSCHLTD,0.0,2024-04-25,0.0,0.05,50,FUT,NFO-FUT,NFO
13041666,50944,BOSCHLTD24MAYFUT,BOSCHLTD,0.0,2024-05-30,0.0,0.05,50,FUT,NFO-FUT,NFO
10343682,40405,BOSCHLTD24JUNFUT,BOSCHLTD,0.0,2024-06-27,0.0,0.05,50,FUT,NFO-FUT,NFO
13392386,52314,BPCL24APRFUT,BPCL,0.0,2024-04-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
13041922,50945,BPCL24MAYFUT,BPCL,0.0,2024-05-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
10552834,41222,BPCL24JUNFUT,BPCL,0.0,2024-06-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
13392898,52316,BRITANNIA24APRFUT,BRITANNIA,0.0,2024-04-25,0.0,0.05,200,FUT,NFO-FUT,NFO
13042178,50946,BRITANNIA24MAYFUT,BRITANNIA,0.0,2024-05-30,0.0,0.05,200,FUT,NFO-FUT,NFO
10553090,41223,BRITANNIA24JUNFUT,BRITANNIA,0.0,2024-06-27,0.0,0.05,200,FUT,NFO-FUT,NFO
13393154,52317,BSOFT24APRFUT,BSOFT,0.0,2024-04-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
13042434,50947,BSOFT24MAYFUT,BSOFT,0.0,2024-05-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
10554882,41230,BSOFT24JUNFUT,BSOFT,0.0,2024-06-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
13393410,52318,CANBK24APRFUT,CANBK,0.0,2024-04-25,0.0,0.05,2700,FUT,NFO-FUT,NFO
13042690,50948,CANBK24MAYFUT,CANBK,0.0,2024-05-30,0.0,0.05,2700,FUT,NFO-FUT,NFO
10556162,41235,CANBK24JUNFUT,CANBK,0.0,2024-06-27,0.0,0.05,2700,FUT,NFO-FUT,NFO
13393666,52319,CANFINHOME24APRFUT,CANFINHOME,0.0,2024-04-25,0.0,0.05,975,FUT,NFO-FUT,NFO
13042946,50949,CANFINHOME24MAYFUT,CANFINHOME,0.0,2024-05-30,0.0,0.05,975,FUT,NFO-FUT,NFO
10773506,42084,CANFINHOME24JUNFUT,CANFINHOME,0.0,2024-06-27,0.0,0.05,975,FUT,NFO-FUT,NFO
13393922,52320,CHAMBLFERT24APRFUT,CHAMBLFERT,0.0,2024-04-25,0.0,0.05,1900,FUT,NFO-FUT,NFO
13043202,50950,CHAMBLFERT24MAYFUT,CHAMBLFERT,0.0,2024-05-30,0.0,0.05,1900,FUT,NFO-FUT,NFO
10773762,42085,CHAMBLFERT24JUNFUT,CHAMBLFERT,0.0,2024-06-27,0.0,0.05,1900,FUT,NFO-FUT,NFO
13394178,52321,CHOLAFIN24APRFUT,CHOLAFIN,0.0,2024-04-25,0.0,0.05,625,FUT,NFO-FUT,NFO
13043458,50951,CHOLAFIN24MAYFUT,CHOLAFIN,0.0,2024-05-30,0.0,0.05,625,FUT,NFO-FUT,NFO
10774530,42088,CHOLAFIN24JUNFUT,CHOLAFIN,0.0,2024-06-27,0.0,0.05,625,FUT,NFO-FUT,NFO
13394434,52322,CIPLA24APRFUT,CIPLA,0.0,2024-04-25,0.0,0.05,650,FUT,NFO-FUT,NFO
13043714,50952,CIPLA24MAYFUT,CIPLA,0.0,2024-05-30,0.0,0.05,650,FUT,NFO-FUT,NFO
10774786,42089,CIPLA24JUNFUT,CIPLA,0.0,2024-06-27,0.0,0.05,650,FUT,NFO-FUT,NFO
13394690,52323,COALINDIA24APRFUT,COALINDIA,0.0,2024-04-25,0.0,0.05,2100,FUT,NFO-FUT,NFO
13043970,50953,COALINDIA24MAYFUT,COALINDIA,0.0,2024-05-30,0.0,0.05,2100,FUT,NFO-FUT,NFO
10775042,42090,COALINDIA24JUNFUT,COALINDIA,0.0,2024-06-27,0.0,0.05,2100,FUT,NFO-FUT,NFO
13394946,52324,COFORGE24APRFUT,COFORGE,0.0,2024-04-25,0.0,0.05,150,FUT,NFO-FUT,NFO
13044226,50954,COFORGE24MAYFUT,COFORGE,0.0,2024-05-30,0.0,0.05,150,FUT,NFO-FUT,NFO
10775554,42092,COFORGE24JUNFUT,COFORGE,0.0,2024-06-27,0.0,0.05,150,FUT,NFO-FUT,NFO
13395202,52325,COLPAL24APRFUT,COLPAL,0.0,2024-04-25,0.0,0.05,350,FUT,NFO-FUT,NFO
13044482,50955,COLPAL24MAYFUT,COLPAL,0.0,2024-05-30,0.0,0.05,350,FUT,NFO-FUT,NFO
10777346,42099,COLPAL24JUNFUT,COLPAL,0.0,2024-06-27,0.0,0.05,350,FUT,NFO-FUT,NFO
13395458,52326,CONCOR24APRFUT,CONCOR,0.0,2024-04-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
13045506,50959,CONCOR24MAYFUT,CONCOR,0.0,2024-05-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
10777602,42100,CONCOR24JUNFUT,CONCOR,0.0,2024-06-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
13395714,52327,COROMANDEL24APRFUT,COROMANDEL,0.0,2024-04-25,0.0,0.05,700,FUT,NFO-FUT,NFO
13047810,50968,COROMANDEL24MAYFUT,COROMANDEL,0.0,2024-05-30,0.0,0.05,700,FUT,NFO-FUT,NFO
10777858,42101,COROMANDEL24JUNFUT,COROMANDEL,0.0,2024-06-27,0.0,0.05,700,FUT,NFO-FUT,NFO
13395970,52328,CROMPTON24APRFUT,CROMPTON,0.0,2024-04-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
13049346,50974,CROMPTON24MAYFUT,CROMPTON,0.0,2024-05-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
10778114,42102,CROMPTON24JUNFUT,CROMPTON,0.0,2024-06-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
13396226,52329,CUB24APRFUT,CUB,0.0,2024-04-25,0.0,0.05,5000,FUT,NFO-FUT,NFO
13049602,50975,CUB24MAYFUT,CUB,0.0,2024-05-30,0.0,0.05,5000,FUT,NFO-FUT,NFO
10779138,42106,CUB24JUNFUT,CUB,0.0,2024-06-27,0.0,0.05,5000,FUT,NFO-FUT,NFO
13396482,52330,CUMMINSIND24APRFUT,CUMMINSIND,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
13050114,50977,CUMMINSIND24MAYFUT,CUMMINSIND,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
10779394,42107,CUMMINSIND24JUNFUT,CUMMINSIND,0.0,2024-06-27,0.0,0.05,300,FUT,NFO-FUT,NFO
13396738,52331,DABUR24APRFUT,DABUR,0.0,2024-04-25,0.0,0.05,1250,FUT,NFO-FUT,NFO
13050882,50980,DABUR24MAYFUT,DABUR,0.0,2024-05-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
10780418,42111,DABUR24JUNFUT,DABUR,0.0,2024-06-27,0.0,0.05,1250,FUT,NFO-FUT,NFO
13396994,52332,DALBHARAT24APRFUT,DALBHARAT,0.0,2024-04-25,0.0,0.05,250,FUT,NFO-FUT,NFO
13051394,50982,DALBHARAT24MAYFUT,DALBHARAT,0.0,2024-05-30,0.0,0.05,250,FUT,NFO-FUT,NFO
10780674,42112,DALBHARAT24JUNFUT,DALBHARAT,0.0,2024-06-27,0.0,0.05,250,FUT,NFO-FUT,NFO
13397250,52333,DEEPAKNTR24APRFUT,DEEPAKNTR,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
13051650,50983,DEEPAKNTR24MAYFUT,DEEPAKNTR,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
10780930,42113,DEEPAKNTR24JUNFUT,DEEPAKNTR,0.0,2024-06-27,0.0,0.05,300,FUT,NFO-FUT,NFO
13397506,52334,DIVISLAB24APRFUT,DIVISLAB,0.0,2024-04-25,0.0,0.05,200,FUT,NFO-FUT,NFO
13052162,50985,DIVISLAB24MAYFUT,DIVISLAB,0.0,2024-05-30,0.0,0.05,200,FUT,NFO-FUT,NFO
10781186,42114,DIVISLAB24JUNFUT,DIVISLAB,0.0,2024-06-27,0.0,0.05,200,FUT,NFO-FUT,NFO
13397762,52335,DIXON24APRFUT,DIXON,0.0,2024-04-25,0.0,0.05,100,FUT,NFO-FUT,NFO
13052418,50986,DIXON24MAYFUT,DIXON,0.0,2024-05-30,0.0,0.05,100,FUT,NFO-FUT,NFO
10781698,42116,DIXON24JUNFUT,DIXON,0.0,2024-06-27,0.0,0.05,100,FUT,NFO-FUT,NFO
13398018,52336,DLF24APRFUT,DLF,0.0,2024-04-25,0.0,0.05,1650,FUT,NFO-FUT,NFO
13052674,50987,DLF24MAYFUT,DLF,0.0,2024-05-30,0.0,0.05,1650,FUT,NFO-FUT,NFO
10781954,42117,DLF24JUNFUT,DLF,0.0,2024-06-27,0.0,0.05,1650,FUT,NFO-FUT,NFO
13398274,52337,DRREDDY24APRFUT,DRREDDY,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
13052930,50988,DRREDDY24MAYFUT,DRREDDY,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
10782210,42118,DRREDDY24JUNFUT,DRREDDY,0.0,2024-06-27,0.0,0.05,125,FUT,NFO-FUT,NFO
13398530,52338,EICHERMOT24APRFUT,EICHERMOT,0.0,2024-04-25,0.0,0.05,175,FUT,NFO-FUT,NFO
13053186,50989,EICHERMOT24MAYFUT,EICHERMOT,0.0,2024-05-30,0.0,0.05,175,FUT,NFO-FUT,NFO
10782466,42119,EICHERMOT24JUNFUT,EICHERMOT,0.0,2024-06-27,0.0,0.05,175,FUT,NFO-FUT,NFO
13398786,52339,ESCORTS24APRFUT,ESCORTS,0.0,2024-04-25,0.0,0.05,275,FUT,NFO-FUT,NFO
13053442,50990,ESCORTS24MAYFUT,ESCORTS,0.0,2024-05-30,0.0,0.05,275,FUT,NFO-FUT,NFO
10782722,42120,ESCORTS24JUNFUT,ESCORTS,0.0,2024-06-27,0.0,0.05,275,FUT,NFO-FUT,NFO
13399042,52340,EXIDEIND24APRFUT,EXIDEIND,0.0,2024-04-25,0.0,0.05,3600,FUT,NFO-FUT,NFO
13053698,50991,EXIDEIND24MAYFUT,EXIDEIND,0.0,2024-05-30,0.0,0.05,3600,FUT,NFO-FUT,NFO
10783234,42122,EXIDEIND24JUNFUT,EXIDEIND,0.0,2024-06-27,0.0,0.05,3600,FUT,NFO-FUT,NFO
13399298,52341,FEDERALBNK24APRFUT,FEDERALBNK,0.0,2024-04-25,0.0,0.05,5000,FUT,NFO-FUT,NFO
13053954,50992,FEDERALBNK24MAYFUT,FEDERALBNK,0.0,2024-05-30,0.0,0.05,5000,FUT,NFO-FUT,NFO
10783746,42124,FEDERALBNK24JUNFUT,FEDERALBNK,0.0,2024-06-27,0.0,0.05,5000,FUT,NFO-FUT,NFO
8973058,35051,FINNIFTY24APRFUT,FINNIFTY,0.0,2024-04-30,0.0,0.05,40,FUT,NFO-FUT,NFO
8982786,35089,FINNIFTY24MAYFUT,FINNIFTY,0.0,2024-05-28,0.0,0.05,40,FUT,NFO-FUT,NFO
8998914,35152,FINNIFTY24JUNFUT,FINNIFTY,0.0,2024-06-25,0.0,0.05,40,FUT,NFO-FUT,NFO
13399554,52342,GAIL24APRFUT,GAIL,0.0,2024-04-25,0.0,0.05,4575,FUT,NFO-FUT,NFO
13054210,50993,GAIL24MAYFUT,GAIL,0.0,2024-05-30,0.0,0.05,4575,FUT,NFO-FUT,NFO
10784258,42126,GAIL24JUNFUT,GAIL,0.0,2024-06-27,0.0,0.05,4575,FUT,NFO-FUT,NFO
13399810,52343,GLENMARK24APRFUT,GLENMARK,0.0,2024-04-25,0.0,0.05,725,FUT,NFO-FUT,NFO
13054466,50994,GLENMARK24MAYFUT,GLENMARK,0.0,2024-05-30,0.0,0.05,725,FUT,NFO-FUT,NFO
10784514,42127,GLENMARK24JUNFUT,GLENMARK,0.0,2024-06-27,0.0,0.05,725,FUT,NFO-FUT,NFO
13400066,52344,GMRINFRA24APRFUT,GMRINFRA,0.0,2024-04-25,0.0,0.05,11250,FUT,NFO-FUT,NFO
13054722,50995,GMRINFRA24MAYFUT,GMRINFRA,0.0,2024-05-30,0.0,0.05,11250,FUT,NFO-FUT,NFO
10785282,42130,GMRINFRA24JUNFUT,GMRINFRA,0.0,2024-06-27,0.0,0.05,11250,FUT,NFO-FUT,NFO
13400322,52345,GNFC24APRFUT,GNFC,0.0,2024-04-25,0.0,0.05,1300,FUT,NFO-FUT,NFO
13054978,50996,GNFC24MAYFUT,GNFC,0.0,2024-05-30,0.0,0.05,1300,FUT,NFO-FUT,NFO
10785538,42131,GNFC24JUNFUT,GNFC,0.0,2024-06-27,0.0,0.05,1300,FUT,NFO-FUT,NFO
13400578,52346,GODREJCP24APRFUT,GODREJCP,0.0,2024-04-25,0.0,0.05,500,FUT,NFO-FUT,NFO
13055234,50997,GODREJCP24MAYFUT,GODREJCP,0.0,2024-05-30,0.0,0.05,500,FUT,NFO-FUT,NFO
10786562,42135,GODREJCP24JUNFUT,GODREJCP,0.0,2024-06-27,0.0,0.05,500,FUT,NFO-FUT,NFO
13400834,52347,GODREJPROP24APRFUT,GODREJPROP,0.0,2024-04-25,0.0,0.05,475,FUT,NFO-FUT,NFO
13055490,50998,GODREJPROP24MAYFUT,GODREJPROP,0.0,2024-05-30,0.0,0.05,475,FUT,NFO-FUT,NFO
10789122,42145,GODREJPROP24JUNFUT,GODREJPROP,0.0,2024-06-27,0.0,0.05,475,FUT,NFO-FUT,NFO
